sno,title,totalCopies,availableCopies
1058,AD HOC MOBILE WIRELESS NETWORKS: PRINCIPLESPROTOCOLS AND APPLICATIONS,7777,1131
1059,INTRODUCTION TO THE SEMANTIC WEB AND SEMANTIC WEB SERVICES,7778,1132
1060,DIGITAL IMAGE PROCESSING AND ANALYSIS: HUMAN AND COMPUTER VISION APPLICATIONS WITH CVIP TOOLS2ND ED.,7779,1133
1061,DESIGN AND ANALYSIS OF ALGORITHMS,7827,1134
1062,DESIGN AND ANALYSIS OF ALGORITHMS,7828,1135
1063,PROGRAMMING IN JAVA2ND ED.,7829,1136
1064,INTELLIGENT SYSTEMS,7848,1137
1065,FEATURE EXTRACTION AND IMAGE PROCESSING FOR COMPUTER VISION,7876,1138
1066,ADOBE FLASH PROFESSIONAL CS5 BIBLEW/CD,7939,1139
1067,ANDROID APPLICATION DEVELOPMENT,7940,1140
1068,BEGINNING LINUX PROGRAMMING4TH ED.,7941,1141
1069,BEGINNING PHP6APACHEMYSQL WEB DEVELOPMENT,7942,1142
1070,BIG DATA AND ANALYTICSW/CD,7943,1143
1071,BIOMETRICS: CONCEPTS AND APPLICATIONSW/CD,7944,1144
1072,BIOMETRICS: CONCEPTS AND APPLICATIONSW/CD,7945,1145
1073,CRYPTOGRAPHY AND SECURITYW/CD,7946,1146
1074,FORMAL LANGUAGES AND AUTOMATA THEORY,7947,1147
1075,OPERATING SYSTEM CONCEPTS9TH ED.,7948,1148
1076,OPERATING SYSTEM CONCEPTS9TH ED.,7949,1149
1077,OPERATING SYSTEM CONCEPTS9TH ED.,7950,1150
1078,OPERATING SYSTEM CONCEPTS9TH ED.,7951,1151
1079,OPERATING SYSTEM CONCEPTS9TH ED.,7952,1152
1080,PRINCIPLES OF SOFT COMPUTING2ND ED.W/CD,7953,1153
1081,PYTHON OBJECTS,7954,1154
1082,THEORY OF COMPUTATION: A PROBLEM-SOLVING APPROACHW/CD,7955,1155
1083,WIRELESS NETWORKS,7956,1156
1084,ADVANCED COMPUTER NETWORKS,7958,1157
1085,ADVANCED COMPUTER NETWORKS,7959,1158
1086,DIGITAL IMAGE PROCESSING FOR MEDICAL APPLICATIONS,7962,1159
1087,HOW TO THINK ABOUT ALGORITHMS,7963,1160
1088,BIOINFORMATICS,7992,1161
1089,THEORY OF COMPUTATION,8028,1162
1090,Data communication & networking,8581,1163
1091,Data communication & networking,8582,1164
1092,Software Project Management ,8583,1165
1093,Software Project Management ,8584,1166
1094,Artificial Intelligence,8585,1167
1095,Artificial Intelligence,8586,1168
1096,Shaums Outlines Discreate Mathematics,8587,1169
1097,Shaums Outlines Data Structure,8588,1170
1098,Software Engineering ,8589,1171
1099,Software Engineering ,8590,1172
1100,Digital Image Processing using MATLAB,8591,1173
1101,Digital Image Processing using MATLAB,8592,1174
1102,Introduction to Database System,8602,1175
1103,Introduction to Database System,8603,1176
1104,Computer Graphics,8604,1177
1105,Computer Graphics,8605,1178
1106,Digital Logic & computer design,8606,1179
1107,Digital Logic & computer design,8607,1180
1108,Computer Networks,8608,1181
1109,Computer Networks,8609,1182
1110,Computer Graphics,8610,1183
1111,Computer Graphics,8611,1184
1112,Princiles of grid computing,8612,1185
1113,Trouble free C++,8613,1186
1114,Artificial Intelligence,8614,1187
1115,Artificial Intelligence,8615,1188
1116,Software testing,8616,1189
1117,Principle of Complier Design,8617,1190
1118,Principle of Complier Design,8618,1191
1119,Data Structure & Algorithms Using C++,8619,1192
1120,Fundamentals of Software Engineering,8620,1193
1121,Fundamentals of Software Engineering,8621,1194
1122,Operating System Concept,8622,1195
1123,Operating System Concept,8623,1196
1124,Computer Graphics,8624,1197
1125,Digital signal processing,8661,1198
1126,Artificial Intelligence: A Modern Approach3e,8683,1199
1127,Artificial Intelligence: A Modern Approach3e,8684,1200
1128,Artificial Intelligence: A Modern Approach3e,8685,1201
1129,Artificial Intelligence: A Modern Approach3e,8686,1202
1130,Computer System ArchitectureRevised 3e,8687,1203
1131,Computer System ArchitectureRevised 3e,8688,1204
1132,Computer System ArchitectureRevised 3e,8689,1205
1133,Computer System ArchitectureRevised 3e,8690,1206
1134,Computer Organization and Architecture10e,8691,1207
1135,Computer Organization and Architecture10e,8692,1208
1136,Computer Organization and Architecture10e,8693,1209
1137,Computer Organization and Architecture10e,8694,1210
1138,Cloud Computing: ConceptsTechnology & Architecture1e,8695,1211
1139,Cloud Computing: ConceptsTechnology & Architecture1e,8696,1212
1140,Cloud Computing: ConceptsTechnology & Architecture1e,8697,1213
1141,Cloud Computing: ConceptsTechnology & Architecture1e,8698,1214
1142,Digital Image Processing4e,8699,1215
1143,Digital Image Processing4e,8700,1216
1144,Digital Image Processing4e,8701,1217
1145,Digital Image Processing4e,8702,1218
1146,Operating Systems: Internals and Design Principles9e,8703,1219
1147,Operating Systems: Internals and Design Principles9e,8704,1220
1148,Operating Systems: Internals and Design Principles9e,8705,1221
1149,Operating Systems: Internals and Design Principles9e,8706,1222
1150,C++ How to Program10e,8707,1223
1151,C++ How to Program10e,8708,1224
1152,C++ How to Program10e,8709,1225
1153,C++ How to Program10e,8710,1226
1154,Data Structures Using C1e,8711,1227
1155,Data Structures Using C1e,8712,1228
1156,Data Structures Using C1e,8713,1229
1157,Data Structures Using C1e,8714,1230
1158,Distributed Operating Systems,8715,1231
1159,Distributed Operating Systems,8716,1232
1160,Distributed Operating Systems,8717,1233
1161,Distributed Operating Systems,8718,1234
1162,Distributed Systems: Principles and Paradigms 2e,8719,1235
1163,Distributed Systems: Principles and Paradigms 2e,8720,1236
1164,Distributed Systems: Principles and Paradigms 2e,8721,1237
1165,Distributed Systems: Principles and Paradigms 2e,8722,1238
1166,Distributed Systems: Concepts and Design5e,8723,1239
1167,Distributed Systems: Concepts and Design5e,8724,1240
1168,Distributed Systems: Concepts and Design5e,8725,1241
1169,Distributed Systems: Concepts and Design5e,8726,1242
1170,Java How to Program: Early Objects11e,8727,1243
1171,Java How to Program: Early Objects11e,8728,1244
1172,Java How to Program: Early Objects11e,8729,1245
1173,Java How to Program: Early Objects11e,8730,1246
1174,Pattern Recognition and Image Analysis,8731,1247
1175,Pattern Recognition and Image Analysis,8732,1248
1176,Pattern Recognition and Image Analysis,8733,1249
1177,Pattern Recognition and Image Analysis,8734,1250
1178,Big Data Fundamentals: ConceptsDrivers & Techniques1e,8735,1251
1179,Big Data Fundamentals: ConceptsDrivers & Techniques1e,8736,1252
1180,Big Data Fundamentals: ConceptsDrivers & Techniques1e,8737,1253
1181,Big Data Fundamentals: ConceptsDrivers & Techniques1e,8738,1254
1182,C How to Program: with an introduction to C++8e,8739,1255
1183,C How to Program: with an introduction to C++8e,8740,1256
1184,C How to Program: with an introduction to C++8e,8741,1257
1185,C How to Program: with an introduction to C++8e,8742,1258
1186,Data Structures,8819,1259
1187,Data Structures,8820,1260
1188,Data Structures,8821,1261
1189,Data Structures,8822,1262
1190,Machine Learning,8823,1263
1191,Machine Learning,8824,1264
1192,Machine Learning,8825,1265
1193,Machine Learning,8826,1266
1194,Programming With C++,8827,1267
1195,Programming With C++,8828,1268
1196,Programming With C++,8829,1269
1197,Programming With C++,8830,1270
1198,Object Oriented Prog With C++,8831,1271
1199,Object Oriented Prog With C++,8832,1272
1200,Object Oriented Prog With C++,8833,1273
1201,Object Oriented Prog With C++,8834,1274
1202,Introduction to Algorithms3e,8841,1275
1203,Introduction to Algorithms3e,8842,1276
1204,Introduction to Algorithms3e,8843,1277
1205,Introduction to Algorithms3e,8844,1278
1206,Fundamentals of Software Engineering 5e,8845,1279
1207,Fundamentals of Software Engineering 5e,8846,1280
1208,Fundamentals of Software Engineering 5e,8847,1281
1209,Fundamentals of Software Engineering 5e,8848,1282
1210,Distributed Operating Systems: Concepts  and Design,8849,1283
1211,Distributed Operating Systems: Concepts  and Design,8850,1284
1212,Distributed Operating Systems: Concepts  and Design,8851,1285
1213,Distributed Operating Systems: Concepts  and Design,8852,1286
1214,Neural NetworksFuzzy Systems and Evolutionary Algorithms: Synthesis and Applications2e,8853,1287
1215,Neural NetworksFuzzy Systems and Evolutionary Algorithms: Synthesis and Applications2e,8854,1288
1216,Neural NetworksFuzzy Systems and Evolutionary Algorithms: Synthesis and Applications2e,8855,1289
1217,Neural NetworksFuzzy Systems and Evolutionary Algorithms: Synthesis and Applications2e,8856,1290
1218,Neural NetworksFuzzy Systems and Evolutionary Algorithms: Synthesis and Applications2e,8893,1291
1219,Principles Of Compiler Design,8894,1292
1220,Principles Of Compiler Design,8895,1293
1221,Principles Of Compiler Design,8896,1294
1222,Principles Of Compiler Design,8897,1295
1223,Introduction to Genetic Algorithms,9013,1296
1224,Introduction to Genetic Algorithms,9014,1297
1225,Introduction to Genetic Algorithms,9015,1298
1226,Introduction to Genetic Algorithms,9016,1299
1227,Digital Image Processing & Analysis: Human & Computer Vision Applications with CVIP tools,9017,1300
1228,Digital Image Processing & Analysis: Human & Computer Vision Applications with CVIP tools,9018,1301
1229,Digital Image Processing & Analysis: Human & Computer Vision Applications with CVIP tools,9019,1302
1230,Digital Image Processing & Analysis: Human & Computer Vision Applications with CVIP tools,9020,1303
1231,Learning with Python,9089,1304
1232,Learning with Python,9090,1305
1233,Learning with Python,9091,1306
1234,Learning with Python,9092,1307
1235,Pankaj Jalote's Software Engineering: A Precise Approach,9093,1308
1236,Pankaj Jalote's Software Engineering: A Precise Approach,9094,1309
1237,Pankaj Jalote's Software Engineering: A Precise Approach,9095,1310
1238,Pankaj Jalote's Software Engineering: A Precise Approach,9096,1311
1239,Principles of Soft Computing3e,9097,1312
1240,Principles of Soft Computing3e,9098,1313
1241,Principles of Soft Computing3e,9099,1314
1242,Principles of Soft Computing3e,9100,1315
1243,The Internet of Things: Key Applications and Protocols,9101,1316
1244,The Internet of Things: Key Applications and Protocols,9102,1317
1245,The Internet of Things: Key Applications and Protocols,9103,1318
1246,The Internet of Things: Key Applications and Protocols,9104,1319
1247,Web Technologies: HTML JAVASCRIPT PHP JAVA JSP ASP.NET XML and Ajax Black Book ,9105,1320
1248,Web Technologies: HTML JAVASCRIPT PHP JAVA JSP ASP.NET XML and Ajax Black Book ,9106,1321
1249,Web Technologies: HTML JAVASCRIPT PHP JAVA JSP ASP.NET XML and Ajax Black Book ,9107,1322
1250,Web Technologies: HTML JAVASCRIPT PHP JAVA JSP ASP.NET XML and Ajax Black Book ,9108,1323
